Название,Год выпуска,Длительность,Описание_перевод,Рейтинг,Страна,Жанр,Обработанный текст,Токенизированный текст,Лематизированный текст,Токенезированный текст 2,Кластер,Категория кластера,Категория кластера моделирование
Унесённые призраками,2001,2h 4m,"Во время переезда своей семьи в пригороды угрюмая 10-летняя девочка бродит в мир, которым управляют боги, ведьмы и духи, и где люди превращаются в зверей.",8.6,"Japan, United States","Animation, Adventure, Family","во время переезда своей семьи в пригороды угрюмая 10-летняя девочка бродит в мир, которым управляют боги, ведьмы и духи, и где люди превращаются в зверей.","время переезда своей семьи пригороды угрюмая 10-летняя девочка бродит мир , которым управляют боги , ведьмы духи , люди превращаются зверей .","время переезд свой семья пригород угрюмый 10-летний девочка бродить мир , который управлять бог , ведьма дух , человек превращаться зверь .","['время', 'переезда', 'своей', 'семьи', 'пригороды', 'угрюмая', '10-летняя', 'девочка', 'бродит', 'мир', ',', 'которым', 'управляют', 'боги', ',', 'ведьмы', 'духи', ',', 'люди', 'превращаются', 'зверей', '.']",6,"Испытания и трансформация, Поиск счастья и любви, Работа над мечтой",
Пианист,2002,2h 30m,"Во время Второй мировой войны известный польский музыкант Wladyslaw сталкивается с различной борьбой, поскольку он теряет контакт со своей семьей. Когда ситуация ухудшается, он прячется в руинах Варшавы, чтобы выжить.",8.5,"France, Poland, Germany, United Kingdom, United States","Biography, Drama, Music","во время второй мировой войны известный польский музыкант wladyslaw сталкивается с различной борьбой, поскольку он теряет контакт со своей семьей. когда ситуация ухудшается, он прячется в руинах варшавы, чтобы выжить.","время второй мировой войны известный польский музыкант wladyslaw сталкивается различной борьбой , поскольку теряет контакт своей семьей . ситуация ухудшается , прячется руинах варшавы , выжить .","время второй мировой война известный польский музыкант wladyslaw сталкиваться различный борьба , поскольку терять контакт свой семья . ситуация ухудшаться , прятаться руина варшава , выжить .","['время', 'второй', 'мировой', 'войны', 'известный', 'польский', 'музыкант', 'wladyslaw', 'сталкивается', 'различной', 'борьбой', ',', 'поскольку', 'теряет', 'контакт', 'своей', 'семьей', '.', 'ситуация', 'ухудшается', ',', 'прячется', 'руинах', 'варшавы', ',', 'выжить', '.']",5,"Вторая мировая война и её последствия: борьба, жертвы и судьбы семей",
Гладиатор,2000,2h 35m,"Бывший римский генерал намерен точно месть против коррумпированного императора, который убил его семью и отправил его в рабство.",8.5,"United States, United Kingdom, Malta, Morocco","Action, Adventure, Drama","бывший римский генерал намерен точно месть против коррумпированного императора, который убил его семью и отправил его в рабство.","бывший римский генерал намерен точно месть против коррумпированного императора , убил семью отправил рабство .","бывший римский генерал намеренный точно месть против коррумпировать император , убить семья отправить рабство .","['бывший', 'римский', 'генерал', 'намерен', 'точно', 'месть', 'против', 'коррумпированного', 'императора', ',', 'убил', 'семью', 'отправил', 'рабство', '.']",3,"мотив разочарования, Герои сталкиваются с крахом иллюзий из-за наркотиков, одержимость над фальшивой реальности и войны.",
Паразиты,2019,2h 12m,Жадность и дискриминация класса угрожают недавно сформированным симбиотическим отношениям между богатой семьей парка и обездоленным кланом Ким.,8.5,South Korea,"Drama, Thriller",жадность и дискриминация класса угрожают недавно сформированным симбиотическим отношениям между богатой семьей парка и обездоленным кланом ким.,жадность дискриминация класса угрожают недавно сформированным симбиотическим отношениям богатой семьей парка обездоленным кланом ким .,жадность дискриминация класс угрожать недавно сформировать симбиотический отношение богатый семья парк обездолить клан ким .,"['жадность', 'дискриминация', 'класса', 'угрожают', 'недавно', 'сформированным', 'симбиотическим', 'отношениям', 'богатой', 'семьей', 'парка', 'обездоленным', 'кланом', 'ким', '.']",4,"Криминальные драмы: убийства, коррупция и борьба за справедливость в разных эпохах",
Психо,1960,1h 49m,"Секретарь по прибеганию к растрату укрывается в уединенном калифорнийском мотеле, принадлежащем подавленному человеку и его властной матери.",8.5,United States,"Horror, Mystery, Thriller","секретарь по прибеганию к растрату укрывается в уединенном калифорнийском мотеле, принадлежащем подавленному человеку и его властной матери.","секретарь прибеганию растрату укрывается уединенном калифорнийском мотеле , принадлежащем подавленному человеку властной матери .","секретарь прибеганий растрата укрываться уединённый калифорнийский мотель , принадлежать подавить человек властный мать .","['секретарь', 'прибеганию', 'растрату', 'укрывается', 'уединенном', 'калифорнийском', 'мотеле', ',', 'принадлежащем', 'подавленному', 'человеку', 'властной', 'матери', '.']",8,"борьбы между светом и тьмой, Испытания веры",
Король лев,1994,1h 28m,"Принц Лев Симба и его отец подвергаются нападению его горького дяди, который хочет подняться на престол.",8.5,United States,"Animation, Adventure, Drama","принц лев симба и его отец подвергаются нападению его горького дяди, который хочет подняться на престол.","принц лев симба отец подвергаются нападению горького дяди , хочет подняться престол .","принц лев симб отец подвергаться нападение горький дядя , хотеть подняться престол .","['принц', 'лев', 'симба', 'отец', 'подвергаются', 'нападению', 'горького', 'дяди', ',', 'хочет', 'подняться', 'престол', '.']",7,"Тени прошлого: преступность, рабство и борьба за выживание",
Могила светлячков,1988,1h 28m,Молодой мальчик и его младшая сестра изо всех сил пытаются выжить в Японии во время Второй мировой войны.,8.5,Japan,"Animation, Drama, War",молодой мальчик и его младшая сестра изо всех сил пытаются выжить в японии во время второй мировой войны.,молодой мальчик младшая сестра изо сил пытаются выжить японии время второй мировой войны .,молодой мальчик младший сестра из сила пытаться выжить япония время второй мировой война .,"['молодой', 'мальчик', 'младшая', 'сестра', 'изо', 'сил', 'пытаются', 'выжить', 'японии', 'время', 'второй', 'мировой', 'войны', '.']",5,"Вторая мировая война и её последствия: борьба, жертвы и судьбы семей",
Отступники,2006,2h 31m,"Полицейский под прикрытием и родинка в полиции пытаются идентифицировать друг друга, проникнув в ирландскую банду в Южном Бостоне.",8.5,"United States, Hong Kong","Crime, Drama, Thriller","полицейский под прикрытием и родинка в полиции пытаются идентифицировать друг друга, проникнув в ирландскую банду в южном бостоне.","полицейский прикрытием родинка полиции пытаются идентифицировать друг друга , проникнув ирландскую банду южном бостоне .","полицейский прикрытие родинка полиция пытаться идентифицировать друг друг , проникнуть ирландский банда южный бостон .","['полицейский', 'прикрытием', 'родинка', 'полиции', 'пытаются', 'идентифицировать', 'друг', 'друга', ',', 'проникнув', 'ирландскую', 'банду', 'южном', 'бостоне', '.']",9,"Испытания дружбы, Разные миры, одни проблемы: конфликты, память и война",
Одержимость,2014,1h 46m,"Многообещающий молодой барабанщик записывается в музыкальную консерваторию, где его мечты о величии обучаются инструктором, который не остановится ни перед чем, чтобы реализовать потенциал студента.",8.5,United States,"Drama, Music","многообещающий молодой барабанщик записывается в музыкальную консерваторию, где его мечты о величии обучаются инструктором, который не остановится ни перед чем, чтобы реализовать потенциал студента.","многообещающий молодой барабанщик записывается музыкальную консерваторию , мечты величии обучаются инструктором , остановится , реализовать потенциал студента .","многообещающий молодой барабанщик записываться музыкальный консерватория , мечта величие обучаться инструктор , остановиться , реализовать потенциал студент .","['многообещающий', 'молодой', 'барабанщик', 'записывается', 'музыкальную', 'консерваторию', ',', 'мечты', 'величии', 'обучаются', 'инструктором', ',', 'остановится', ',', 'реализовать', 'потенциал', 'студента', '.']",6,"Испытания и трансформация, Поиск счастья и любви, Работа над мечтой",
Харакири,1962,2h 13m,"Когда Ронин, прося Сеппуку во дворце феодального лорда, рассказывается о жестоком самоубийстве другого Ронина, который ранее посещал, он раскрывает, как их прошлые переплетаются - и при этом бросают вызов целостности клана.",8.6,Japan,"Drama, Mystery","когда ронин, прося сеппуку во дворце феодального лорда, рассказывается о жестоком самоубийстве другого ронина, который ранее посещал, он раскрывает, как их прошлые переплетаются - и при этом бросают вызов целостности клана.","ронин , прося сеппуку дворце феодального лорда , рассказывается жестоком самоубийстве другого ронина , ранее посещал , раскрывает , прошлые переплетаются - бросают вызов целостности клана .","ронина , просить сеппук дворец феодальный лорд , рассказываться жестокий самоубийство другой ронина , ранее посещать , раскрывать , прошлый переплетаться - бросать вызов целостность клан .","['ронин', ',', 'прося', 'сеппуку', 'дворце', 'феодального', 'лорда', ',', 'рассказывается', 'жестоком', 'самоубийстве', 'другого', 'ронина', ',', 'ранее', 'посещал', ',', 'раскрывает', ',', 'прошлые', 'переплетаются', '-', 'бросают', 'вызов', 'целостности', 'клана', '.']",7,"Тени прошлого: преступность, рабство и борьба за выживание",
Американская история Икс,1998,1h 59m,"Живая жизнью, отмеченная насилием, Неонацистский Дерек, наконец, отправляется в тюрьму после убийства двух чернокожих молодых людей. После его освобождения Дерек клянется измениться; Он надеется не допустить, чтобы его брат Дэнни, который боготворивает Дерека, следовать по его стопам.",8.5,United States,"Crime, Drama","живая жизнью, отмеченная насилием, неонацистский дерек, наконец, отправляется в тюрьму после убийства двух чернокожих молодых людей. после его освобождения дерек клянется измениться; он надеется не допустить, чтобы его брат дэнни, который боготворивает дерека, следовать по его стопам.","живая жизнью , отмеченная насилием , неонацистский дерек , , отправляется тюрьму убийства двух чернокожих молодых людей . освобождения дерек клянется измениться ; надеется допустить , брат дэнни , боготворивает дерека , следовать стопам .","живой жизнь , отметить насилие , неонацистский дерек , , отправляться тюрьма убийство два чернокожий молодой человек . освобождение дерек клясться измениться ; надеяться допустить , брат дэнни , боготворивать дерек , следовать стопа .","['живая', 'жизнью', ',', 'отмеченная', 'насилием', ',', 'неонацистский', 'дерек', ',', ',', 'отправляется', 'тюрьму', 'убийства', 'двух', 'чернокожих', 'молодых', 'людей', '.', 'освобождения', 'дерек', 'клянется', 'измениться', ';', 'надеется', 'допустить', ',', 'брат', 'дэнни', ',', 'боготворивает', 'дерека', ',', 'следовать', 'стопам', '.']",6,"Испытания и трансформация, Поиск счастья и любви, Работа над мечтой",
Престиж,2006,2h 10m,Соперничающие маги 19-го века вступают в горькую битву за коммерческие секреты.,8.5,"United Kingdom, United States","Drama, Mystery, Sci-Fi",соперничающие маги 19-го века вступают в горькую битву за коммерческие секреты.,соперничающие маги 19-го века вступают горькую битву коммерческие секреты .,соперничать маг 19-й век вступать горький битва коммерческий секрет .,"['соперничающие', 'маги', '19-го', 'века', 'вступают', 'горькую', 'битву', 'коммерческие', 'секреты', '.']",7,"Тени прошлого: преступность, рабство и борьба за выживание",
Леон,1994,1h 50m,"12-летняя Матильда неохотно принимает Леон, профессиональный убийца Леона, после того, как ее семья убита. Необычные отношения формируются, когда она становится его протеже и изучает торговлю Ассасином.",8.5,"France, United States","Action, Crime, Drama","12-летняя матильда неохотно принимает леон, профессиональный убийца леона, после того, как ее семья убита. необычные отношения формируются, когда она становится его протеже и изучает торговлю ассасином.","12-летняя матильда неохотно принимает леон , профессиональный убийца леона , , семья убита . необычные отношения формируются , становится протеже изучает торговлю ассасином .","12-летний матильда неохотно принимать леон , профессиональный убийца леона , , семья убитый . необычный отношение формироваться , становиться протеже изучать торговля ассасин .","['12-летняя', 'матильда', 'неохотно', 'принимает', 'леон', ',', 'профессиональный', 'убийца', 'леона', ',', ',', 'семья', 'убита', '.', 'необычные', 'отношения', 'формируются', ',', 'становится', 'протеже', 'изучает', 'торговлю', 'ассасином', '.']",6,"Испытания и трансформация, Поиск счастья и любви, Работа над мечтой",
Человек-паук: Паутина вселенных,2023,2h 20m,"Путешествуя по мультивселенной, Майлз Моралес встречает новую команду пауков, состоящую из героев из разных измерений. Но когда герои сталкиваются с тем, как справиться с новой угрозой, Майлз оказывается на перекрестке.",8.5,United States,"Animation, Action, Adventure","путешествуя по мультивселенной, майлз моралес встречает новую команду пауков, состоящую из героев из разных измерений. но когда герои сталкиваются с тем, как справиться с новой угрозой, майлз оказывается на перекрестке.","путешествуя мультивселенной , майлз моралес встречает новую команду пауков , состоящую героев разных измерений . герои сталкиваются , справиться новой угрозой , майлз оказывается перекрестке .","путешествовать мультивселенная , майлз моралеса встречать новый команда паук , состоять герой разный измерение . герой сталкиваться , справиться новый угроза , майлз оказываться перекрёсток .","['путешествуя', 'мультивселенной', ',', 'майлз', 'моралес', 'встречает', 'новую', 'команду', 'пауков', ',', 'состоящую', 'героев', 'разных', 'измерений', '.', 'герои', 'сталкиваются', ',', 'справиться', 'новой', 'угрозой', ',', 'майлз', 'оказывается', 'перекрестке', '.']",2,столкновение с неожиданными последствиями своих действий в путешествие,
Касабланка,1942,1h 42m,"Циничный экспатриант американский владелец кафе изо всех сил пытается решить, помогать ли его бывшему любовнику и ее бегтерцу избежать нацистов во французском Марокко.",8.5,United States,"Drama, Romance, War","циничный экспатриант американский владелец кафе изо всех сил пытается решить, помогать ли его бывшему любовнику и ее бегтерцу избежать нацистов во французском марокко.","циничный экспатриант американский владелец кафе изо сил пытается решить , помогать бывшему любовнику бегтерцу избежать нацистов французском марокко .","циничный экспатриант американский владелец кафе из сила пытаться решить , помогать бывший любовник бегтерец избежать нацист французский марокко .","['циничный', 'экспатриант', 'американский', 'владелец', 'кафе', 'изо', 'сил', 'пытается', 'решить', ',', 'помогать', 'бывшему', 'любовнику', 'бегтерцу', 'избежать', 'нацистов', 'французском', 'марокко', '.']",7,"Тени прошлого: преступность, рабство и борьба за выживание",
Подозрительные лица,1995,1h 46m,"Единственный выживший в результате перестрелки пирса рассказывает историю о том, как пресловутый преступник повлиял на события, которые начались с пяти преступников, собравшихся в кажущейся случайной полицейской линейке.",8.5,"United States, Germany","Crime, Drama, Mystery","единственный выживший в результате перестрелки пирса рассказывает историю о том, как пресловутый преступник повлиял на события, которые начались с пяти преступников, собравшихся в кажущейся случайной полицейской линейке.","единственный выживший результате перестрелки пирса рассказывает историю , пресловутый преступник повлиял события , начались пяти преступников , собравшихся кажущейся случайной полицейской линейке .","единственный выжить результат перестрелка пирс рассказывать история , пресловутый преступник повлиять событие , начаться пять преступник , собраться кажущийся случайный полицейский линейка .","['единственный', 'выживший', 'результате', 'перестрелки', 'пирса', 'рассказывает', 'историю', ',', 'пресловутый', 'преступник', 'повлиял', 'события', ',', 'начались', 'пяти', 'преступников', ',', 'собравшихся', 'кажущейся', 'случайной', 'полицейской', 'линейке', '.']",0,"антологию в жанре психологического триллера, криминальной драмы и приключенческого экшна",
1+1,2011,1h 52m,"После того, как он становится четырехлетним из аварии на парапланеринге, аристократ нанимает молодого человека из проектов, чтобы он был его попечителем.",8.5,France,"Comedy, Drama","после того, как он становится четырехлетним из аварии на парапланеринге, аристократ нанимает молодого человека из проектов, чтобы он был его попечителем.",", становится четырехлетним аварии парапланеринге , аристократ нанимает молодого человека проектов , попечителем .",", становиться четырёхлетний авария парапланеринга , аристократ нанимать молодой человек проект , попечитель .","[',', 'становится', 'четырехлетним', 'аварии', 'парапланеринге', ',', 'аристократ', 'нанимает', 'молодого', 'человека', 'проектов', ',', 'попечителем', '.']",6,"Испытания и трансформация, Поиск счастья и любви, Работа над мечтой",
Новый кинотеатр «Парадизо»,1988,2h 54m,"Сальваторе, известный режиссер, возвращается в свой родной город на похороны резокриста местного театра Альфредо. Он вспоминает о своей жизни, когда молодой мальчик влюбился в кино.",8.5,"Italy, France","Drama, Romance","сальваторе, известный режиссер, возвращается в свой родной город на похороны резокриста местного театра альфредо. он вспоминает о своей жизни, когда молодой мальчик влюбился в кино.","сальваторе , известный режиссер , возвращается родной город похороны резокриста местного театра альфредо . вспоминает своей жизни , молодой мальчик влюбился кино .","сальватор , известный режиссёр , возвращаться родный город похороны резокриста местный театр альфредо . вспоминать свой жизнь , молодой мальчик влюбиться кино .","['сальваторе', ',', 'известный', 'режиссер', ',', 'возвращается', 'родной', 'город', 'похороны', 'резокриста', 'местного', 'театра', 'альфредо', '.', 'вспоминает', 'своей', 'жизни', ',', 'молодой', 'мальчик', 'влюбился', 'кино', '.']",7,"Тени прошлого: преступность, рабство и борьба за выживание",
Новые времена,1936,1h 27m,Бродяга изо всех сил пытается жить в современном промышленном обществе с помощью молодой бездомной женщины.,8.5,United States,"Comedy, Drama, Romance",бродяга изо всех сил пытается жить в современном промышленном обществе с помощью молодой бездомной женщины.,бродяга изо сил пытается жить современном промышленном обществе помощью молодой бездомной женщины .,бродяга из сила пытаться жить современный промышленный общество помощь молодой бездомный женщина .,"['бродяга', 'изо', 'сил', 'пытается', 'жить', 'современном', 'промышленном', 'обществе', 'помощью', 'молодой', 'бездомной', 'женщины', '.']",8,"борьбы между светом и тьмой, Испытания веры",
Чужой,1979,1h 57m,После изучения таинственной передачи неизвестного происхождения экипаж коммерческого космического корабля встречает смертельную форму жизни.,8.5,"United Kingdom, United States","Horror, Sci-Fi",после изучения таинственной передачи неизвестного происхождения экипаж коммерческого космического корабля встречает смертельную форму жизни.,изучения таинственной передачи неизвестного происхождения экипаж коммерческого космического корабля встречает смертельную форму жизни .,изучение таинственный передача неизвестный происхождение экипаж коммерческий космический корабль встречать смертельный форма жизнь .,"['изучения', 'таинственной', 'передачи', 'неизвестного', 'происхождения', 'экипаж', 'коммерческого', 'космического', 'корабля', 'встречает', 'смертельную', 'форму', 'жизни', '.']",2,столкновение с неожиданными последствиями своих действий в путешествие,
Окно во двор,1954,1h 52m,"Скучный фотограф, выздоравливающий от сломанной ноги, проходит время, наблюдая за своими соседями и начинает подозревать одного из них об убийстве.",8.5,United States,"Drama, Mystery, Thriller","скучный фотограф, выздоравливающий от сломанной ноги, проходит время, наблюдая за своими соседями и начинает подозревать одного из них об убийстве.","скучный фотограф , выздоравливающий сломанной ноги , проходит время , наблюдая своими соседями начинает подозревать одного убийстве .","скучный фотограф , выздоравливать сломать нога , проходить время , наблюдать свой сосед начинать подозревать один убийство .","['скучный', 'фотограф', ',', 'выздоравливающий', 'сломанной', 'ноги', ',', 'проходит', 'время', ',', 'наблюдая', 'своими', 'соседями', 'начинает', 'подозревать', 'одного', 'убийстве', '.']",4,"Криминальные драмы: убийства, коррупция и борьба за справедливость в разных эпохах",
Однажды на Диком Западе,1968,2h 46m,"Загадочный незнакомец с гармоникой объединяет усилия с печально известным отчаянием, чтобы защитить прекрасную вдову от безжалостной убийцы, работающей на железной дороге.",8.5,"Italy, United States","Drama, Western","загадочный незнакомец с гармоникой объединяет усилия с печально известным отчаянием, чтобы защитить прекрасную вдову от безжалостной убийцы, работающей на железной дороге.","загадочный незнакомец гармоникой объединяет усилия печально известным отчаянием , защитить прекрасную вдову безжалостной убийцы , работающей железной дороге .","загадочный незнакомец гармоника объединять усилие печально известный отчаяние , защитить прекрасный вдова безжалостный убийца , работать железный дорога .","['загадочный', 'незнакомец', 'гармоникой', 'объединяет', 'усилия', 'печально', 'известным', 'отчаянием', ',', 'защитить', 'прекрасную', 'вдову', 'безжалостной', 'убийцы', ',', 'работающей', 'железной', 'дороге', '.']",1,"кризисом идентичности, социальной несправедливостью и борьбой за выживание",
Джанго освобождённый,2012,2h 45m,"С помощью немецкой охотника за щедрости, освобожденный раб, который собирается спасти свою жену от жестокого владельца плантации в Миссисипи.",8.5,United States,Western,"с помощью немецкой охотника за щедрости, освобожденный раб, который собирается спасти свою жену от жестокого владельца плантации в миссисипи.","помощью немецкой охотника щедрости , освобожденный раб , собирается спасти жену жестокого владельца плантации миссисипи .","помощь немецкий охотник щедрость , освободить раб , собираться спасти жена жестокий владелец плантация миссисипи .","['помощью', 'немецкой', 'охотника', 'щедрости', ',', 'освобожденный', 'раб', ',', 'собирается', 'спасти', 'жену', 'жестокого', 'владельца', 'плантации', 'миссисипи', '.']",8,"борьбы между светом и тьмой, Испытания веры",
Огни большого города,1931,1h 27m,"С помощью богатого беспорядочного Tippler, бродяги с влажными глазами, который влюбился в невидимую цветочную девушку, накапливает деньги, чтобы помогать ей медицинской помощи.",8.5,United States,"Comedy, Drama, Romance","с помощью богатого беспорядочного tippler, бродяги с влажными глазами, который влюбился в невидимую цветочную девушку, накапливает деньги, чтобы помогать ей медицинской помощи.","помощью богатого беспорядочного tippler , бродяги влажными глазами , влюбился невидимую цветочную девушку , накапливает деньги , помогать медицинской помощи .","помощь богатый беспорядочный tippler , бродяга влажный глаз , влюбиться невидимый цветочный девушка , накапливать деньга , помогать медицинский помощь .","['помощью', 'богатого', 'беспорядочного', 'tippler', ',', 'бродяги', 'влажными', 'глазами', ',', 'влюбился', 'невидимую', 'цветочную', 'девушку', ',', 'накапливает', 'деньги', ',', 'помогать', 'медицинской', 'помощи', '.']",8,"борьбы между светом и тьмой, Испытания веры",
Апокалипсис сегодня,1979,2h 27m,"Офицеру армии США, служащего во Вьетнаме, поручено убийством полковника спецназа Renegade, который считает себя Богом.",8.4,United States,"Drama, Mystery, War","офицеру армии сша, служащего во вьетнаме, поручено убийством полковника спецназа renegade, который считает себя богом.","офицеру армии сша , служащего вьетнаме , поручено убийством полковника спецназа renegade , считает богом .","офицер армия сша , служащий вьетнам , поручить убийство полковник спецназ renegade , считать бог .","['офицеру', 'армии', 'сша', ',', 'служащего', 'вьетнаме', ',', 'поручено', 'убийством', 'полковника', 'спецназа', 'renegade', ',', 'считает', 'богом', '.']",4,"Криминальные драмы: убийства, коррупция и борьба за справедливость в разных эпохах",
Дюна: Часть вторая,2024,2h 46m,"Пол Атрейдес объединяется с Фременом, находясь на пути мести, отомстив заговорщикам, которые уничтожили его семью. Столкнувшись с выбором между любовью всей его жизни и судьбой вселенной, он старается предотвратить ужасное будущее.",8.5,"United States, Canada, United Arab Emirates, Hungary, Italy, New Zealand, Jordan, Gambia","Action, Adventure, Drama","пол атрейдес объединяется с фременом, находясь на пути мести, отомстив заговорщикам, которые уничтожили его семью. столкнувшись с выбором между любовью всей его жизни и судьбой вселенной, он старается предотвратить ужасное будущее.","пол атрейдес объединяется фременом , находясь пути мести , отомстив заговорщикам , уничтожили семью . столкнувшись выбором любовью всей жизни судьбой вселенной , старается предотвратить ужасное будущее .","пол атрейдес объединяться фременом , находиться путь месть , отомстить заговорщик , уничтожить семья . столкнуться выбор любовь весь жизнь судьба вселенная , стараться предотвратить ужасный будущее .","['пол', 'атрейдес', 'объединяется', 'фременом', ',', 'находясь', 'пути', 'мести', ',', 'отомстив', 'заговорщикам', ',', 'уничтожили', 'семью', '.', 'столкнувшись', 'выбором', 'любовью', 'всей', 'жизни', 'судьбой', 'вселенной', ',', 'старается', 'предотвратить', 'ужасное', 'будущее', '.']",10,"Испытания судьбы: от детских мечтаний до исторических битв за правду, преодолением трудностей и надеждой выбором пути ",
Помни,2000,1h 53m,"Леонард Шелби, следователь по страхованию, страдает от антероградной амнезии и использует заметки и татуировки, чтобы охотиться за человеком, который, по его мнению, убил его жену, что является последним, что он помнит.",8.4,United States,"Mystery, Thriller","леонард шелби, следователь по страхованию, страдает от антероградной амнезии и использует заметки и татуировки, чтобы охотиться за человеком, который, по его мнению, убил его жену, что является последним, что он помнит.","леонард шелби , следователь страхованию , страдает антероградной амнезии использует заметки татуировки , охотиться человеком , , мнению , убил жену , является последним , помнит .","леонард шелбить , следователь страхование , страдать антероградный амнезия использовать заметка татуировка , охотиться человек , , мнение , убить жена , являться последний , помнить .","['леонард', 'шелби', ',', 'следователь', 'страхованию', ',', 'страдает', 'антероградной', 'амнезии', 'использует', 'заметки', 'татуировки', ',', 'охотиться', 'человеком', ',', ',', 'мнению', ',', 'убил', 'жену', ',', 'является', 'последним', ',', 'помнит', '.']",3,"мотив разочарования, Герои сталкиваются с крахом иллюзий из-за наркотиков, одержимость над фальшивой реальности и войны.",
